Iteration,FID
kernal=39,FID: 27.460
kernal=21,FID: 35.423
kernal=3,FID: 5.682
kernal=33,FID: 29.537
kernal=35,FID: 27.822
kernal=9,FID: 13.857
kernal=7,FID: 11.207
kernal=25,FID: 34.782
kernal=1,FID: 3.763
kernal=13,FID: 21.404
kernal=47,FID: 49.187
kernal=5,FID: 7.578
kernal=29,FID: 37.380
kernal=11,FID: 17.407
kernal=43,FID: 35.321
kernal=17,FID: 29.161
kernal=41,FID: 32.105
kernal=45,FID: 42.412
kernal=31,FID: 35.411
kernal=23,FID: 41.286
kernal=37,FID: 27.230
kernal=19,FID: 33.265
kernal=15,FID: 23.067
kernal=49,FID: 49.577
kernal=27,FID: 35.407
