Iteration,FID
mean=1.5-stdev=0.1,FID: 343.147
mean=0.9-stdev=0.1,FID: 105.221
mean=1.6-stdev=0.1,FID: 343.147
mean=1.7-stdev=0.1,FID: 343.147
mean=0.1-stdev=0.1,FID: 26.668
mean=1.8-stdev=0.1,FID: 343.147
mean=1.9-stdev=0.1,FID: 343.147
mean=1.2-stdev=0.1,FID: 291.731
mean=1.0-stdev=0.1,FID: 180.805
mean=1.3-stdev=0.1,FID: 319.399
mean=1.4-stdev=0.1,FID: 343.147
mean=1.1-stdev=0.1,FID: 232.259
mean=0.5-stdev=0.1,FID: 36.342
mean=0.3-stdev=0.1,FID: 39.454
mean=0.0-stdev=0.1,FID: 27.062
mean=0.8-stdev=0.1,FID: 86.727
mean=0.6-stdev=0.1,FID: 32.643
mean=0.7-stdev=0.1,FID: 40.732
mean=2.0-stdev=0.1,FID: 343.147
mean=0.2-stdev=0.1,FID: 32.244
mean=0.4-stdev=0.1,FID: 42.579
