Iteration,FID
kernal=39,FID: 36.354
kernal=21,FID: 35.494
kernal=3,FID: 31.228
kernal=33,FID: 34.303
kernal=35,FID: 34.881
kernal=9,FID: 32.153
kernal=7,FID: 31.268
kernal=25,FID: 37.987
kernal=1,FID: 26.753
kernal=13,FID: 28.302
kernal=47,FID: 36.579
kernal=5,FID: 31.695
kernal=29,FID: 37.218
kernal=11,FID: 31.758
kernal=43,FID: 37.191
kernal=17,FID: 30.523
kernal=41,FID: 35.918
kernal=45,FID: 37.913
kernal=31,FID: 35.774
kernal=23,FID: 36.722
kernal=37,FID: 34.612
kernal=19,FID: 33.228
kernal=15,FID: 29.603
kernal=49,FID: 38.064
kernal=27,FID: 35.349
