Set,FID
3240016,87.402
3800016,133.753
4240016,33.109
3360016,43.429
3560016,37.121
4280016,97.463
3040016,43.249
4080016,101.392
2880016,67.935
3760016,211.330
3960016,129.036
2960016,41.699
3840016,64.703
3720016,46.939
3440016,90.538
3480016,33.896
3640016,73.892
2920016,30.034
3520016,26.851
4040016,63.476
4000016,44.322
3880016,113.008
3920016,54.098
3160016,58.374
4160016,82.065
3680016,39.709
3600016,36.091
3120016,91.999
3320016,54.489
3400016,56.503
4120016,168.947
3080016,30.029
3000016,75.333
3200016,39.977
4200016,67.905
3280016,48.008
